 NaN                     -9.866666666666666E-003 NaN                    
 -9.866666666666666E-003 NaN                    
 -9.800000000000000E-003 NaN                     -9.800000000000000E-003
 NaN                     -9.800000000000000E-003 NaN                    
 -9.800000000000000E-003 NaN                    
 -9.733333333333332E-003 NaN                     -9.733333333333332E-003
 NaN                     -9.733333333333332E-003 NaN                    
 -9.733333333333332E-003 NaN                    
 -9.666666666666665E-003 NaN                     -9.666666666666665E-003
 NaN                     -9.666666666666665E-003 NaN                    
 -9.666666666666665E-003 NaN                    
 -9.599999999999999E-003 NaN                     -9.599999999999999E-003
 NaN                     -9.599999999999999E-003 NaN                    
 -9.599999999999999E-003 NaN                    
 -9.533333333333333E-003 NaN                     -9.533333333333333E-003
 NaN                     -9.533333333333333E-003 NaN                    
 -9.533333333333333E-003 NaN                    
 -9.466666666666667E-003 NaN                     -9.466666666666667E-003
 NaN                     -9.466666666666667E-003 NaN                    
 -9.466666666666667E-003 NaN                    
 -9.399999999999999E-003 NaN                     -9.399999999999999E-003
 NaN                     -9.399999999999999E-003 NaN                    
 -9.399999999999999E-003 NaN                    
 -9.333333333333332E-003 NaN                     -9.333333333333332E-003
 NaN                     -9.333333333333332E-003 NaN                    
 -9.333333333333332E-003 NaN                    
 -9.266666666666666E-003 NaN                     -9.266666666666666E-003
 NaN                     -9.266666666666666E-003 NaN                    
 -9.266666666666666E-003 NaN                    
 -9.200000000000000E-003 NaN                     -9.200000000000000E-003
 NaN                     -9.200000000000000E-003 NaN                    
 -9.200000000000000E-003 NaN                    
 -9.133333333333332E-003 NaN                     -9.133333333333332E-003
 NaN                     -9.133333333333332E-003 NaN                    
 -9.133333333333332E-003 NaN                    
 -9.066666666666666E-003 NaN                     -9.066666666666666E-003
 NaN                     -9.066666666666666E-003 NaN                    
 -9.066666666666666E-003 NaN                    
 -8.999999999999999E-003 NaN                     -8.999999999999999E-003
 NaN                     -8.999999999999999E-003 NaN                    
 -8.999999999999999E-003 NaN                    
 -8.933333333333333E-003 NaN                     -8.933333333333333E-003
 NaN                     -8.933333333333333E-003 NaN                    
 -8.933333333333333E-003 NaN                    
 -8.866666666666665E-003 NaN                     -8.866666666666665E-003
 NaN                     -8.866666666666665E-003 NaN                    
 -8.866666666666665E-003 NaN                    
 -8.799999999999999E-003 NaN                     -8.799999999999999E-003
 NaN                     -8.799999999999999E-003 NaN                    
 -8.799999999999999E-003 NaN                    
 -8.733333333333333E-003 NaN                     -8.733333333333333E-003
 NaN                     -8.733333333333333E-003 NaN                    
 -8.733333333333333E-003 NaN                    
 -8.666666666666666E-003 NaN                     -8.666666666666666E-003
 NaN                     -8.666666666666666E-003 NaN                    
 -8.666666666666666E-003 NaN                    
 -8.600000000000000E-003 NaN                     -8.600000000000000E-003
 NaN                     -8.600000000000000E-003 NaN                    
 -8.600000000000000E-003 NaN                    
 -8.533333333333332E-003 NaN                     -8.533333333333332E-003
 NaN                     -8.533333333333332E-003 NaN                    
 -8.533333333333332E-003 NaN                    
 -8.466666666666666E-003 NaN                     -8.466666666666666E-003
 NaN                     -8.466666666666666E-003 NaN                    
 -8.466666666666666E-003 NaN                    
 -8.399999999999999E-003 NaN                     -8.399999999999999E-003
 NaN                     -8.399999999999999E-003 NaN                    
 -8.399999999999999E-003 NaN                    
 -8.333333333333333E-003 NaN                     -8.333333333333333E-003
 NaN                     -8.333333333333333E-003 NaN                    
 -8.333333333333333E-003 NaN                    
 -8.266666666666665E-003 NaN                     -8.266666666666665E-003
 NaN                     -8.266666666666665E-003 NaN                    
 -8.266666666666665E-003 NaN                    
 -8.199999999999999E-003 NaN                     -8.199999999999999E-003
 NaN                     -8.199999999999999E-003 NaN                    
 -8.199999999999999E-003 NaN                    
 -8.133333333333333E-003 NaN                     -8.133333333333333E-003
 NaN                     -8.133333333333333E-003 NaN                    
 -8.133333333333333E-003 NaN                    
 -8.066666666666666E-003 NaN                     -8.066666666666666E-003
 NaN                     -8.066666666666666E-003 NaN                    
 -8.066666666666666E-003 NaN                    
